invoiceId,CodeSeq
550469,"37413,84077,21733,22300,22557,22077,16225,22350,22781,M,21471,22383,85123A,21531,22553,21465,17021,22467,85150,85144,21870,22680,20725,22665,20727,71053,22551,82582,22382,21181,22301"
553390,"22670,22683,21784,22661,22456,22652,22919,22921,85114B,22776,21975,21790,23144,21745,22894,79066K,23150,23147,85059,22173,85170D,22954,22722,79321,21213,22480,35653,20685,22419,22297,20725,84510A,21137,22485,21155,22487,22550,22993,22831,22917,22705,22863,22429,20622,22613,21218,21977,20728,21243,21927,22090,35648,21718,82581,22427,22845,22979,20679,47421,21917,82578,23201,23151,21260,22674,85123A,20616,21564,22317,23145,22425,22918,21976,71406C,21239,22916,22920,23133,21231,22358,20665,20719,21918,21452,22329,22893,21925,22754,21232,23134,22896,22088"
556441,"22670,22377,23182,22300,23236,22384,23300,22789,22178,23235,21535,22374,22383,22371,22302,23106,23168,23209,20685,21781,20726,23203,22662,21843,22996,23207,21137,21539,84970S,22372,23206,22690,23208,23301,21428"
556732,"21212,22890,22470,15058B,21215,46000M,23199,22424,21908,20679,20713,23202,22384,22414,22720,23200,22674,23321,21172,21564,20839,22772,21446,15056N,85132B,22627,21080,85132C,84997D,23203,22385,20725,22315,22386,23322,21989,21313,22469,21907,47599A,23206,23298,22382,20674,22624,22795,20984,21428,23256,23254,47599B,84519B"
569020,"22750,84077,23274,23356,22191,22150,22274,23355,21908,23229,23101,22151,21917,20972,21166,22961,23284,22548,82583,22271,22113,23273,22751,85066,22147,23129,23130,21314,48138,23469,20971,22273,22193,22550,21918,22690,22960,23152,22189,21175,23426,85048,21174,23254,22152,23503,23102,22749"
573020,"23247,22697,22867,23113,23436,22910,23117,23236,23191,23355,22424,23101,23202,22720,20969,21790,22898,23175,20972,23235,22568,22865,22467,20982,23373,22940,23311,84380,22086,22693,23470,20983,23084,22621,23234,22699,22909,23317,23437,22633,23103,22727,23301,23243,84879,20970,22969,22896,23375,23114,22728,23344,23503,21210,23343"
577511,"22112,23227,22587,22470,23583,22158,22694,22151,22565,21650,23504,21306,22113,21638,21429,21642,23209,22566,22475,23470,23439,51014A,22306,22835,23494,23469,23322,22488,23295,84970S,22938,22586,22596,23103,84596B,22185,20992,23557,23310,23344,23493,23296,22152,23503"
541783,"22697,22561,22805,22847,22777,22854,22557,22776,21670,21980,22961,22622,21985,22965,22553,84978,22772,22423,22963,22962,21669,84380,22796,22197,22778,84378,22699,22485,21673,22558,22296,22551,22849,22773,22771"
570234,"37500,82484,23356,22470,20754,23067,22694,46000M,23355,72760B,23399,23329,71038,23330,23065,23470,22835,23469,23322,23328,72800E,84970S,72741,22795,84879,23323,22189,47480,23333,21814,17003,23393,85111"
572049,"21823,21147,84997A,23227,82484,22295,22158,22904,23486,72802B,22314,84997C,84944,23103,21034,23468,82494L,72802C,48173C,23472"
541432,"22113,22457,21485,84050"
551692,84685
552677,"22432,22670,21876,21116,21086,84988,22361,22055,22673,21094,21773,21935,22501,48185,22364,72351a,22197,85123a,48138,22212,21078,22960,21181,85099B,23256,21174,21977,DOT,84997a,21042,85099C,22090,21931,22089,23163,21169,22095,21928,84032B,22422,21786,20679,37340,22502,22411,21259,21033,75049L,82482,22668,22195,35809a,82600,20711,72801c,21930,47591d,72801d"
553658,"21015,21730,21810,22295,82581,22555,84352,85104,23144,21813,21790,21332,22548,82583,21770,23148,23145,22809,22082,21669,21823,22297,82482,22488,85103,21915,22831,23298,22081,82600,22969,84970L,82580,22810,84843"
554441,"21990,22906,47590B,20771,84755,22150,21991,22274,71270,21523,22149,22983,22273,23298,21770,47590A,21506,85015,20768,71459,20772"
560145,"23012,21902,23177,23013,21900,21790,22720,22548,23299,20914,21888,22467,22627,23176,22963,22138,22962,23181,22625,23014,23240,22469,22558,22726,47566,22993,84946,23298,21156,22624,21326,21899,84879,22192"
569823,"35970,22554,22564,22439,22557,23521,22865,22383,21071,21901,23287,23263,21213,23209,22086,22197,23461,23540,20971,20718,23522,22633,21374,21592,23298,22960,23412,84879,21463,21891,23285,21249,23339,23319,22607,21371,23158,22720,84596F,22961,23284,23215,22965,11001,22553,21055,21932,22505,20727,21704,21907,23103,84596B,22435,23539,21899,23344"
570592,"84031B,21212,22112,35970,22805,21240,22910,20723,21485,22747,21154,22383,82583,22772,22423,79321,21213,22086,22197,20725,22665,22645,21155,85049g,21673,22736,22729,84692,23206,23298,22382,22727,22114,22327,20724,22738,20728,21668,22426,84029E,20675,22775,22041,21484,23205,21672,23168,20677,22737,84997d,22110,21239,22739,84997b,22835,22079,21671,20727,22731,22726,47566,23204,21714,20719,22355,21238,21232,22725,84997c,84030e,22356,21479"
577541,"20726,23169,22197,82484,84029E,20682,20725,23583,20727,23322,22212,22469,22384,22666,22382,22727,23321,21888,23168,21479,22728"
578941,"21212,16162M,23457,22784,22439,22557,22556,21975,84991,22092,15044C,23366,23096,51008,21615,23263,21213,22400,22714,22185,84992,22715,21403,15044A,23308,23167,21977,44089A,23695,85187,22095,22099,22951,M,22109,22097,21192,23326,23166,85015,22620,85194S,23307,22096,21976,23510,85212,21201,23697,22488,22093,22821,21907,21289,22551,15044D,17003,16238,21200,22211,22208"
537691,"22505,46000R,22147,84580,22470,84755,22791,22469,22149,21754,47566,22666,82486,20975,22171,22464,21326,84879,20981,22635"
553470,"22913,82484,22171,22788,22189,23135,23134,22188,21623,22912,22914"
559174,"35648,47503A,81952V,22099,22608,22092,85019B,82616C,20616,37327,20615,10133,81952B,84876D,21932,85132C,84929,21933,85211,35646,22094,22093,37342,35651,85183A,85183B,78124,20984,82616B,85111"
576112,"23203,22577,48187,22219,23236,22578,22572,84946,22690,23184,22579,22863,22411,22571,84879,84997B,23256,23493,22591,84997D"
538184,"22561,22147,21201,22457,22536,22904,22544,22274,22558,20979,21524,21790,22964,22560,21481,21918,22492,22053,22271,22585,21588,22493,22692,22272,48184,21791"
538517,"22198,22561,22750,21212,22564,20754,22562,22623,21889,22760,84991,21790,18098C,22568,22548,22569,85227,22489,21248,20967,21791,22940,22491,22796,22197,22645,21704,22570,22558,21231,22560,22844,22646,21232,21164,20970,22209,21218,20676,22563,22749"
554072,"20973,22147,22991,21314,22554,22457,22531,22150,23230,22540,22556,84970S,21693,22492,22622,22992,23089,84559B,22585,21385,84970L,84978,23148,21688,23192"
554630,"21946,82552,22407,22644,22649,22672,21166,21992,79066K,22992,21172,23233,16156S,22709,85016,16011,21877,84536A,84929,22807,23156,22421,22405,21944,21943,21874,84536B,22983,22892,84596B,21832,82600,22646,23089,23159,15034,22035,16161U,17003"
556462,"20754,23191,21086,21155,23239,15036,23202,22720,23235,22474,23184,15034,21770,20914,21088,23242,79321"
556929,"21843,23084"
557271,"22798,22659,84755,22748,22927,23236,22919,22037,23080,23300,22776,22747,22720,22970,23284,21731,85123A,23321,22627,23238,22745,22716,23307,22918,23084,22616,23322,22916,22920,23240,22746,22726,22983,47566,22993,22605,22917,23298,22624,22727,21034,84879,22493,22801,21507"
575091,"23436,22577,23583,22952,20723,23349,21484,21790,23353,21481,23351,23366,23352,22383,23373,22082,23209,22739,20725,20727,22578,23534,23437,23206,22355,23208,22382,22579,22356,23681,23354,23375,20724,23344,23367,22738,21479,23343"
580490,"21166,22233,21169,16169E,21175,23434,21912,22231,21790,21705"
538879,"21212,22759,22150,22837,22555,22557,22983,22453,21980,22595,22593,22130,84819,22585,21982,21080,21983,20668,21977"
552191,"23126,47590A,23128,22968,22820,23127"
559062,"23187,85211,21179,17091J,35471D,22952,22396,85032D,22400,22950,22909,37340,22402,22398,21373,22123,22115,21096,21088,84929"
559295,"23245,22554,21671,22326,22699,23170,22557,22029,22799,22712,22151,22776,22139,22551,22727,POST,20914,22509,22423"
561519,"22030,22539,22536,21892,23229,21790,21509,23284,22974,22600,22535,22972,21888,22954,10133,23251,23242,22620,23318,22549,21791,22546,22489,22138,22491,22532,22083,22026,23241,23266,22084,21874,22550,21918,22596,21068,22035"
562204,"23320,23294,22907,35965,22562,84755,22457,22555,90154,21485,23202,22063,21084,90063B,21064,90063A,21358,20982,22963,23295,84692,22732,23343,22236,22561,21159,22089,22577,90206C,90205C,21327,21143,90209B,23201,85049E,84596F,22418,22961,51014L,85123A,22780,22097,84978,22333,22962,22244,22096,21089,21194,23322,22578,90200B,22579,21209,22435,23323,20984,22804,22211,22563"
577022,"22695,22577,23490,22470,23404,22768,21754,21484,23217,23210,22178,23331,23215,23334,23212,23211,23223,23219,23330,22737,23213,22110,20894,22739,82483,23400,82482,22578,22469,21673,22696,22579,22800,23333,21175,82494L,22801,21287"
578292,"21191,23169,22867,22910,23570,22158,23355,22155,21485,72127,21975,84991,22865,23293,22423,23106,20828,20685,22086,22111,22260,23439,35400,48187,48138,22959,21820,23485,22928,20956,23437,48116,22190,48194,16169E,21034,84992,22632,22732,23085,22738,23102,22481,23414,23436,23490,21696,22952,22154,22816,23101,22818,23284,22153,21821,23273,22597,22425,22737,22866,22941,22261,22733,22731,23133,72131,22942,22156"
540976,"22413,21212,22091,22915,22394,22659,22554,22557,21908,21917,22951,21622,22970,21731,84821,22900,22398,85016,22406,20914,22115,21875,22412,21877,85015,22138,22399,21955,22662,21111,84817,21110,22922,48138,22139,22358,21452,82582,22551,22605,20719,22856,21164,POST,21890,84029G,22207,20724"
545583,"22090,21931,22617,20971,22570,21559,22139,22568,21731,20749,22435,POST,85099B,21891,22138,22749"
548542,"22357,21586,22406,22359,22115,21875,22076,22358"
557757,"21447,21666,22605,85114A,21171,84970L,84950,15060B,21949,23002,20718,22221,21669"
558100,"22606,85066,21756,48138,21499,23317,21754,21524,23144,23284,22217,22690,48194,21476,21034,48184,23106,21500,23315,21955,20685,21713"
567879,"23368,22574,35970,23356,22910,22295,22946,22952,22141,23355,22144,22947,23200,22113,22575,84032A,22581,22086,20973,23313,22580,22573,22950,22909,22596,22579,21479,23367,85099C"
573256,85135A
539275,"22150,22083,21914,22423,22909,21915"
581138,"20719,22355,20724,23204"
542375,"22629,21731,22302,POST,22634,22367"
574966,"23581,23489,23084,23191,23382,23534,22086"
562945,79000
572458,"21191,22086,23469,21497,22077,22592,23080,21673,23437,21544,21980,22187,23351,85049A,23352,23541,23081,23381,21181,21192,23569,23434,21982,23375,21080,22771"
C562959,"22138,85066"
547122,"22090,22434,21876,21900,22084,22726,22993,23232,22892,22720,23233,21172,22727,22730,22115,21174"
562600,"22090,POST,22668,21380,21213,20974"
562890,"23203,23245,21498,21794,21636,22959,22386,23313,21499,20723,47566,23298,16169E,22356,22461,20724,21391,21500,85099F,23263"
539630,"22111,22971,22136,22835,22066,85099B,22423,22469,21485,84347,21484,22988"
550831,"48185,22355,22411,48187,48138,22386,21928,85099B,21955,21524"
574592,"22086,84946,22941,22942,22791,23491,23434,23311"
560536,"23031,21755,21417,21326,84978,23032,23028"
536596,"22900,22114,84926A,22802,21624,21967"
553835,"22474,23008,23007,22662,22472,23256,23254"
578459,"22576,22600,22910,22580,22338,22340,22669,22086"
569560,"23012,35970,23032,22457,22675,22488,23014,23013,23026,23029,21136,22185,23031,84879,22673,22671"
570264,21288
562271,"84077,22725,22411,22727,22730,20914,23316,22726,22729,23315,22728,15039"
565747,"22867,23203,23356,22411,22114,84029G,23355,23202,85099F,22633"
575671,"21976,23084,22966,22554,22326,22952,22976,23349,22556,23480,23353,23350,22964,22551,23351,22992,20749,POST,21770,20750"
575961,"22993,23581,23103,22624,22625,23243,23583,23198,22722,23681,22720,22666"
536938,"22112,21931,84997A,21258,22386,22837,20713,20712,84997B,22356,20724,21479,79321,85099C"
543641,"22645,75131,22513,22372,21708,22646,22374,85123A,21833,22371,22066,44265,21644,40003"
575948,"84946,21240,23017,18097C"
561057,"POST,85099B"
C577362,23110
554792,"POST,21080"
566248,"22112,22114,15060B,23404,85015,23403,22720,84818"
C549913,22961
C556414,"22456,22327"
C540850,21231
C542604,"21351,22796,84799,22625,21262,22768,21352,22666"
573726,72817
561352,"23203,22624,22910,20914,85152,21175,82581,85099B,21908,82580,23077,82578,22086"
568222,"22865,21172,22564,22621,23207,21429,22620,22563,21754,22993,21790"
560095,"23012,21361,82494L,23013,84884A"
547557,22866
549160,81953P
552172,16014
553708,"23191,23192,23209"
538041,22145
552238,"23298,85017B,84795B"
553559,M
580739,"23344,21896"
C576393,"84687,21891"
568711,"23227,22969,23215,23444"
551990,22607
571010,22848
562463,85152
571906,22112
C546174,22791
554284,20801
C550672,23199
567695,22688
573409,23015
C578132,75049L
537252,22197
548998,84741C
570281,"79321,22779,23108"
552215,17096
536597,"22220,35271S,20755,22910,22952,21703,72818,22583,22384,21705,84744,85035C,21221,72798C,85034A,22086,20726,22197,20682,21380,21704,22731,22909,21709,40001,72802C,21739,72803A"
536608,"22863,22963,22962"
536765,84952C
537439,37474
537631,22961
537870,21486
538142,84247C
538177,"22755,22574,79067,22694,21116,22651,22589,16225,22666,22629,22246,21849,22489,21676,22086,35653,85131D,22111,22305,90185B,21801,22616,22531,21155,90028,22283,22471,20764,84406B,22114,22189,21098,21982,21174,90173,21931,21356,21169,21889,22619,37447,82581,22422,22151,85014B,21361,22279,21867,20914,21429,85039B,21108,71143,22737,22547,84673B,22385,22625,22835,21187,15036,21624,22731,22195,22926,90198A,47591D,21829,21328,22910,22344,21262,22557,21467,20723,21524,21811,22174,22974,22464,85017B,85061W,22972,85227,21329,21865,22811,22689,20973,17012E,22598,22444,20971,82613D,22550,90070,21544,84946,22585,22529,21253,22812,20966,72802C,47591B,84849B,47593B,85135B,22813,85132A,90200D,84659A,22299,84032B,21754,85176,22203,20969,22961,84509E,85123A,21385,22701,22739,82567,85199S,84378,20832,21109,22196,22492,22304,22278,22754,84987,22735,84030E,22769,90201B,21912,22156,82599,22263,22311,21191,22697,21730,22091,22554,84755,21195,22904,22141,22572,22077,22776,21154,90115,22466,22199,21935,72807B,22752,22169,90170,21313,22839,22530,22948,22190,22595,84031A,22969,84969,22631,85131B,22170,84596E,21703,22816,21883,21786,85049E,18098C,21481,21067,22284,22502,21448,16048,15056N,22620,21791,21508,22147,84968D,16237,21698,84947,21894,22544,22458,22355,22690,20751,21899,20780,21871,16238,22533,22166,84031B,21212,22890,21012,22953,21264,22457,22536,22381,22603,22028,90147,21716,22741,84748,22614,22569,21901,85150,21877,21642,22419,22459,84509A,22212,22837,21915,22479,21826,21181,85099B,22679,90201C,22379,21902,22131,90214L,22095,21928,21484,21251,35599D,20733,84535B,21888,22476,22654,22285,22082,21641,21990,22759,79190B,22945,22348,35241,21991,22699,72800E,22726,22579,22537,21479,22753,22161,22659,22587,22927,21485,22144,22649,21658,21803,22568,21166,22357,16235,20770,90209C,22113,22423,22546,22669,22501,21715,22197,21850,20725,21846,22570,22729,22960,22727,90129A,22897,20728,21851,21000,21908,22251,22288,22855,22322,22496,21934,21001,22677,22096,22922,47471,22386,22621,35095B,22558,84832,22358,21832,21224,21175,84968C,35598D,22308,84077,22564,35471D,22661,21518,22712,22310,21992,22383,15056BL,84032A,47567B,21623,22662,22342,84609,90129E,85114C,22469,22338,22925,22573,22740,20712,22696,85178,22646,22624,22478,20931,21810,22326,22946,22497,21165,20902,22854,22768,22534,22418,22109,35095A,22371,21821,21192,22549,21563,85066,22194,21035,35957,90013A,21675,22477,22630,47559B,22909,20719,22551,21069,90005A,22893,22615,22571,22101,90192,21974,22867,22162,21947,21381,21876,22439,22555,22183,21900,22535,22594,22730,48188,46776F,90200C,79321,20974,22566,46776C,17012A,22297,85184C,21041,22665,21137,90051,22757,20956,84692,22593,84879,84006,20622,22738,DOT,22198,84510E,84754,22224,22952,20963,90209B,21903,11001,22637,20932,22339,22064,22083,85039A,17012B,22149,22314,20665,20700,21232,21164,22795,22942,22356,85048,22112,21942,20754,35965,22973,21892,22943,72598,21790,21731,20975,35833P,85131C,20967,84536A,20618,21216,48129,22260,21314,90059E,21802,22495,22382,21833,22346,22732,85152,84029G,82616B,21218,22968,20724,22327,20961,22840,22413,21680,21258,22847,22041,22966,22295,21718,22607,22576,22153,21878,90114,35964,84663A,84380,22866,70006,20682,22219,22245,21704,84970S,21231,84347,22321,22165,90129D,20658,22728,48173C,20772,21188,21210"
538308,"21212,21533,22348,20727,22667,21786,21527,84832,22310,22362,21787,22553,22499,21479,21967,21213"
539064,"47590B,47590A,22061,22423,22218,37449"
539570,"21931,20725,48187,21928,20713,82600,21181,20914,85152,21175,48188,85099B,48111,22379"
540184,"48194,22617,22782,71053,21754,21524"
540998,"84380,84988,20749,22302,84378,21080,22285,21210,22303"
542006,"22428,21733,22191,84755,21868,22927,22919,22424,22464,22411,84978,22916,22920,22925,22558,47566,22926,72741,22917,21181,21034,22430,84970L,21930,85099B,22192,84763,85099C"
542512,22830
542515,35607A
543484,"21212,22859,22554,21246,21217,23230,21086,22521,20712,23232,22492,21242,22520,22466,21749,21746,20749,22857,POST,15056N,85099B,21094,20676,21080,21936,22526,22254"
543521,22769
543536,"21212,22411,21034,84992,22386,22493,79063D,85099B,84993B,21174,85099C"
544605,84755
544643,"84380,22989,22907,22851,22966,84378,21231,22720,22666,22980,22961,22960,22969,22722,22978"
544941,"21447,22230,22321,84228,84231,22322,47590A,84378,15036,47566,22087"
545577,"22079,85049F,22845,22077,85049E,21670,22720,22849,22960,21411,22624,22846,84978,21668"
546016,85172
546317,"22197,22030,16237,16161P,21206,21060,23230,16218,21497,22570,22273,22819,22983,84249A,20972,16235,16219,84375,21504,22569,21506,21063,21062,21204,21500"
546686,"21249,21129,22326,22457,84429A,21135,20712,22178,21481,21731,22471,22969,84879,21128,79321,85099F"
546892,"22567,22697,23000,21898,22554,85131A,22029,21211,22666,22178,21509,23183,22494,22229,22255,22730,22508,79321,84997D,21213,22197,17012A,20725,22665,22227,22895,21455,84692,22296,22883,22087,23004,48194,22429,22897,82580,DOT,37500,21169,22224,22427,22816,22422,22384,22855,22027,21067,84912B,23194,22322,21531,21580,90214K,22167,85174,71459,84796A,21508,20726,22996,22386,21621,85039A,21454,15036,22558,22983,84832,21447,22031,79302M,21209,21746,20711,22721,21175,84763,85053,21212,21012,23182,22158,21163,22608,79030G,21716,84991,21790,21992,21731,84988,21002,22383,82583,85061W,85150,21442,21896,22967,20618,22247,21314,22228,22023,35809A,20712,22479,22478,21181,22585,85152,85099B,84913A,22999,21507,84849B,22379,22813,22908,22089,22030,22041,21385,22719,22082,85066,84796B,21990,22241,22233,21035,22348,82567,82482,84378,22791,22699,21991,22477,22668,21880,22248,20831,21069,82600,35971,21993,22718,22804,22559,22728,21372,35810A"
546908,"22907,84406B,22727,47590A,22189,22730,21621,22084,21754,22720,22666"
547045,"21320,22800"
547107,"22178,22697,82484,22483,82482,82494L,21056,22968"
547688,"22084,22087"
547938,"22697,22289,21609,22291,21847,21850,21846,22699,22288,22740,90164A,22741,35915C,90124C,90124B,22829,85231G,35915B,21613,21849,90124A,22698,21851"
547949,"22697,22699,22423"
548267,"84993A,22183,22060"
548707,"22413,22890,82483,22497,21165,22117,22139,21907,21166,82600,21905,21181,21257,20750,21175,85152,85066"
549130,"22291,21246,22457,21866,22132,21467,21864,22292,22357,85186A,84988,21867,22115,22266,21865,22967,85194S,22265,22505,22289,22197,21843,48138,22488,22084,21624,22286,21389,22358,22957,22293,22611,20676,22499,22840"
549510,84559B
549718,"23154,22859,23156,23049,22570,20679,22964,22568,22957,23155,21588,85205B,22636,71459,22254"
549752,"23205,23207,23204,23206"
549907,"48116,48185,48129,48138,48111,48184,48173C,20685"
549941,75049L
551351,"22252,21730,22805,85199L,85131A,84755,85130B,21670,23144,85203,22772,22673,85204,22297,21171,22227,21441,23140,21137,23077,22296,72741,22969,15034,84950,21982,35923,21174,82580,22771,21169,21733,22224,82581,82552,21908,82551,72811,22855,23139,21985,20846,22335,84978,23148,84945,22597,71459,22244,21669,20707,21671,15036,82582,85230A,21164,23152,21746,23137,21749,84970L,17003,23182,23146,22465,18097C,84789,22789,21811,22174,23147,22464,82583,85061W,85231G,71510,22115,22243,85150,85131C,82001S,21442,20794,84792,22341,23136,22342,22216,22212,22294,23153,21673,85230E,85231B,21181,84971S,85152,21668,85230B,22602,22413,22041,21981,21165,84836,82578,22460,23138,85123A,21172,23076,22719,85129B,23078,21390,82567,22318,22219,22488,21126,21907,22893,21326,71101E,22822,85230G,22804,22156"
551726,"21181,21937,37450,21936,21231"
551902,"21078,84755"
552193,"21212,22554,22927,21981,22417,21914,22925,22556,22928,21915,22926,22418,20977,20975,22614,20981"
552723,"23181,23298,23184,23081,22992,22991,22652,22723,23080,23108,47566,23209"
552885,84997C
553042,"22568,23298,22147,23147,48187,84879,82482,22569,84945,22570,22149"
554067,"22491,22621,21892,22570,22149,22560,22568,21260,22494,22569,21906,21890,21891,22489"
554126,"22413,22617,48138,23109,35004G,22492,23284,21731,79191C,22382,23301,84978,22692,15056BL,84945,85014A,23079"
554151,"21240,22659,22554,21246,22515,84581,22029,22817,22431,22629,15058A,20974,22491,22519,22693,20725,48187,22819,22714,22560,21156,22631,22517,22523,22025,20728,23091,22606,21889,22623,22150,22619,21703,23177,22384,23190,22433,22027,22524,21448,22992,22483,20846,22553,11001,22824,22716,20726,22989,20727,22149,22983,22990,21452,22605,22814,21238,47591D,21746,21890,21829,22432,22825,84077,23193,22907,22717,22037,22557,22522,20723,22028,22712,21716,84789,21790,20972,21747,22622,20975,22383,84375,20749,21558,23176,22138,22516,21896,20973,22956,22662,22925,20971,22139,21915,22993,23206,22442,21078,22382,84522,21830,22832,22493,21891,22968,22526,22561,21498,21718,22024,22607,22460,22418,21878,85062,22425,22082,23192,84828,21239,22617,23207,21675,22630,21914,71053,21559,22367,47566,22352,22492,22980,21918,22551,23126,22514,21912,79030D,23056,23127"
554163,"21781,85132A,84192,82482,82581,22469,22424,22282,62097B,22763,22175,21754,82578,84906,22283,22795,22173,22176,82580,21042,85132C,84519B,22762"
554496,"22129,22430,21175,22925,47566"
554579,"23205,20726,22502,23208,22847,22501,23206"
554671,"22759,22918,21035,22621,22919,22920,20971,22149,47566,22568,23298,21672,48194,23126,22822,21844,20685,22752"
554868,22197
554997,"20726,23203,23084,22386,23199,22712,20971,23202,20712,22948,23206,22027,22900,22336,22382,85099B,23082,23209"
555538,"22185,21535,21294,21531,22188,22782,21135,22487,22296"
555813,"22355,22386,22356,85099B,20724,23202"
555829,"21931,22432,22385,22386,23207,23080,22384,23201,22431,22433,22382,22383,20728,23192"
556084,"23169,22605,23298,22607,84945"
556319,22945
557019,"23247,23169,84563B,20684,22607,22375,22274,47504K,21485,22269,23029,23300,23093,23201,21524,22267,21484,84944,22568,21926,22357,21067,22374,85232D,22371,21386,22271,22266,23178,85014A,22376,22111,22110,22197,22759,20682,21401,22315,22778,23234,23207,21894,22273,22372,84859A,84946,21922,22841,22766,23301,21034,84879,21871,23344,23132,85135B"
557040,"23286,21533,85054,82483,48187,82482,23236,22469,23240,21754,22720,22464,23243,82494L,23285"
557066,"85040A,23203,21498,22470,82483,22386,23322,22469,15036,21495,23300,72802B,85035C,84879,21930,15044B,21429,21500"
557283,"21677,22904,22903,16162L,21900,23300,84596F,23284,84535B,23321,21901,21725,21723,22197,22312,17091J,85184C,22348,21041,85212,20725,22645,22386,20727,21679,21724,47559B,22367,21726,23206,84596B,22382,21720,23301,47591D,22435,85099B,20728,22311"
557325,"21755,82486,21672,21668,21670,21754,21669"
557760,"22970,22971,21977,21915,22988,22713,22840"
558104,"22567,21755,23245,22847,22953,23322,22469,85039A,22077,85039C,22487,21754,22352,72351A,82600,84375,23321,22846,21257,21259,72351B,21174,85039B"
558271,"84380,22090,22470,21390,84755,84378,23236,22607,22469,23240,47566,23144,85123A,22965,21890"
558638,"22413,23307,23163,23245,22784,23160,23032,23170,84836,23240,22726,22720,23173,23162,23233,22674,23243,23299,22423,23251,23145,21174,71459,23108"
558731,"22813,22661,21892,22077,20723,23196,23202,22712,22028,22899,22534,21790,23200,22898,22584,22383,22271,21934,21888,22467,23148,22549,21791,22082,23209,22716,20726,23203,22662,22385,20725,21913,22079,22645,22983,22550,22367,23204,23206,20712,20719,23298,22355,21156,22382,22646,20970,47591D,22035,21930,22025,21912,20724,20728,22379"
558870,"15056P,15056BL,85014A"
